[2018-11-03 20:09:06] auction.INFO: Home page, /, route called [] []
[2018-11-03 20:09:25] auction.INFO: Add Item page, /add/item, route called [] []
[2018-11-03 20:12:53] auction.INFO: Add Item page, /add/item, route called [] []
[2018-11-03 20:13:01] auction.INFO: Add Item post page, /add/item, route called [] []
[2018-11-03 20:14:18] auction.INFO: Add Item page, /add/item, route called [] []
